duration,service_usage,lost_cars,mean_delay_time,effective_interarrival_mean
36000,36000,70,4355.262295081967,294.43801652892563
36000,35972,78,4963.913043478261,313.2719298245614
36000,35807,88,5355.435185185185,333.803738317757
36000,34867,103,4284.3302752293575,329.75
36000,35296,62,3559.876811594203,258.18978102189783
36000,35917,90,4761.325,298.3193277310924
36000,35950,76,4498.292682926829,293.4344262295082
36000,36000,103,4901.347107438017,297.8333333333333
36000,35843,81,3832.8467153284673,261.4117647058824
36000,36000,96,4783.655462184874,299.76271186440675
36000,35965,85,4845.019417475728,339.3921568627451
36000,36000,93,4733.466101694915,305.982905982906
36000,35348,79,3902.309523809524,282.48
36000,35609,83,4852.302752293578,331.25
36000,36000,47,4478.578512396694,294.90833333333336
36000,35079,86,4753.379310344828,311.88695652173914
36000,35532,103,5612.3,359.8989898989899
36000,35787,76,5375.818181818182,357.07142857142856
36000,35719,83,4457.299212598426,284.3253968253968
36000,35831,127,5641.278846153846,345.0873786407767
36000,35217,71,4183.747826086957,313.3421052631579
36000,35888,108,5718.434343434344,365.03061224489795
36000,36000,60,4015.0546875,282.3937007874016
36000,36000,55,5234.0952380952385,343.21153846153845
36000,36000,91,5162.097345132744,315.5982142857143
36000,35469,102,5867.5268817204305,388.04347826086956
36000,35538,94,5324.27,358.8787878787879
36000,36000,110,5741.103092783505,371.0833333333333
36000,35491,78,5006.92380952381,343.8557692307692
36000,36000,65,4182.770992366412,274.9307692307692
36000,35968,77,3722.108527131783,280.5703125
36000,36000,89,4669.252032520325,293.0655737704918
36000,35717,73,4331.0390625,275.503937007874
36000,36000,92,5506.542857142857,345.2980769230769
36000,35765,115,5747.377551020408,366.659793814433
36000,36000,67,5041.0526315789475,317.5929203539823
36000,35862,100,4987.181818181818,322.61467889908255
36000,35810,52,4625.440677966101,296.9230769230769
36000,35997,99,4382.6016260162605,290.10655737704917
36000,36000,96,5072.327272727272,327.70642201834863
36000,35771,76,4836.627272727273,324.4770642201835
36000,36000,92,5200.279279279279,325.94545454545454
36000,36000,81,4508.827868852459,295.59504132231405
36000,35943,77,5101.2477876106195,317.98214285714283
36000,35589,66,3465.84496124031,277.7109375
36000,35964,55,3837.7062937062938,251.7605633802817
36000,35570,56,4046.256,284.66129032258067
36000,36000,76,4351.81746031746,286.688
36000,36000,100,5151.113043478261,314.5263157894737
36000,36000,93,4903.033898305085,306.9230769230769
36000,36000,87,5162.855855855856,323.8545454545455
36000,35928,93,5281.763636363637,329.26605504587155
36000,35698,88,4892.090909090909,364.05102040816325
36000,35807,96,5210.4495412844035,329.27777777777777
36000,36000,70,4414.072580645161,286.0813008130081
36000,35907,80,4850.710743801653,298.90833333333336
36000,35931,80,5111.1061946902655,317.38392857142856
36000,35860,65,4531.354838709677,288.1626016260163
36000,36000,108,5552.883495145631,346.921568627451
36000,36000,66,4348.7265625,283.01574803149606
36000,35999,104,5377.418181818181,328.0
36000,36000,106,5017.5,329.5045871559633
36000,35790,109,5044.14953271028,336.811320754717
36000,35683,83,5001.5,313.3805309734513
36000,35115,84,4882.972972972973,317.1272727272727
36000,35679,41,3445.5352112676055,253.52482269503545
36000,35251,91,5066.24347826087,309.4122807017544
36000,36000,70,4352.959349593496,292.8196721311475
36000,35979,72,4833.871794871795,307.87931034482756
36000,35623,94,5849.646464646465,360.9183673469388
36000,36000,62,3630.2698412698414,283.976
36000,35587,72,4201.96875,281.4251968503937
36000,35932,69,4914.333333333333,300.8534482758621
36000,35732,105,6313.010638297872,374.21505376344084
36000,35915,95,4653.760330578512,295.31666666666666
36000,36000,56,3808.823943661972,251.89361702127658
36000,36000,68,4594.452991452991,309.30172413793105
36000,35766,70,4089.705426356589,274.921875
36000,35847,104,5402.066037735849,334.7142857142857
36000,35993,46,3625.1666666666665,260.3138686131387
36000,35882,86,5313.62962962963,333.95327102803736
36000,35799,89,4302.038167938931,274.3692307692308
36000,36000,77,3981.7131147540986,294.6363636363636
36000,36000,104,5054.894736842105,307.83185840707966
36000,36000,53,3788.4615384615386,277.6434108527132
36000,35508,94,4774.1596638655465,302.22033898305085
36000,35942,76,5475.959595959596,361.3673469387755
36000,35814,76,3716.956896551724,309.2
36000,35910,91,5505.830188679245,339.64761904761906
36000,35968,87,4868.266666666666,298.0924369747899
36000,35894,85,4522.192,285.56451612903226
36000,35382,71,4546.948717948718,287.76724137931035
36000,35894,73,4577.548672566371,320.0357142857143
36000,35828,78,4768.271186440678,302.20512820512823
36000,35827,88,4460.992125984252,280.3888888888889
36000,36000,45,4124.150793650793,285.328
36000,35531,69,4635.541666666667,302.1764705882353
36000,36000,88,4677.706896551724,310.3478260869565
36000,35359,90,4038.5210084033615,294.54237288135596
36000,35871,100,5412.575471698113,339.54285714285714
36000,35843,92,5168.451327433629,319.25892857142856
36000,36000,98,4896.008547008547,307.9655172413793
36000,35817,68,4293.186046511628,277.546875
36000,36000,106,4883.30081300813,294.24590163934425
36000,35588,86,4615.991666666667,299.7563025210084
36000,36000,109,6147.226804123711,371.0625
36000,35955,89,4883.865546218487,301.6186440677966
36000,35918,84,5489.8490566037735,335.18095238095236
36000,35944,67,4373.991452991453,297.9310344827586
36000,36000,32,3129.0522388059703,266.1203007518797
36000,36000,118,4892.2991452991455,309.4655172413793
36000,35957,95,5197.446428571428,321.65765765765764
36000,35705,80,5535.08,357.64646464646466
36000,35963,89,4507.024390243902,292.44262295081967
36000,36000,88,4425.1,296.2857142857143
36000,35695,84,4656.433333333333,298.6218487394958
36000,36000,80,4932.652173913043,313.7543859649123
36000,36000,69,4258.181818181818,264.68702290076334
36000,36000,65,4104.804347826087,262.54014598540147
36000,35873,58,3734.732824427481,274.2230769230769
36000,35973,97,4563.779527559055,283.3095238095238
36000,35731,82,4476.236220472441,281.6746031746032
36000,35295,83,4015.6614173228345,278.3492063492063
36000,35654,80,4936.761061946902,319.0
36000,35157,89,5060.926605504587,324.75
36000,36000,96,4509.066666666667,301.73949579831935
36000,36000,72,4691.706896551724,312.09565217391304
36000,36000,67,4234.173553719008,296.98333333333335
36000,36000,84,5127.592920353983,316.00892857142856
36000,35955,68,4907.102564102564,309.0258620689655
36000,35971,86,4958.203389830508,299.96581196581195
36000,35637,92,4498.336,285.63709677419354
36000,35377,46,3645.568345323741,259.92753623188406
36000,35981,74,4092.0,263.5514705882353
36000,35652,53,3892.3606557377047,293.89256198347107
36000,35965,17,3509.028368794326,250.54285714285714
36000,35721,67,4578.316666666667,300.8151260504202
36000,35678,75,4367.041666666667,297.8151260504202
36000,36000,110,4853.338983050848,305.56410256410254
36000,35657,81,5256.5,339.48571428571427
36000,35664,82,4715.949579831933,297.59322033898303
36000,36000,75,4446.0161290322585,284.0894308943089
36000,35964,104,4362.909090909091,294.3666666666667
36000,35961,99,4928.033898305085,297.86324786324786
36000,35989,137,5848.80198019802,355.65
36000,35781,73,4364.511811023622,281.62698412698415
36000,35921,52,4250.889763779527,274.6507936507937
36000,35802,77,4452.050847457627,305.64957264957263
36000,35739,105,4696.475409836065,290.02479338842977
36000,35500,99,4570.211382113821,286.22131147540983
36000,35587,75,4242.487804878048,288.55737704918033
36000,35649,87,4822.913793103448,306.9217391304348
36000,35704,93,4578.098360655737,294.45454545454544
36000,35407,100,5259.3942307692305,341.4660194174757
36000,36000,79,4427.858407079646,318.2857142857143
36000,35903,90,4632.959677419355,286.5528455284553
36000,36000,65,4305.950819672131,296.56198347107437
36000,35827,99,4640.944,288.2096774193548
36000,35747,93,4927.887931034483,310.0869565217391
36000,35782,89,5328.119266055046,330.9259259259259
36000,35914,88,5076.818965517241,306.0173913043478
36000,36000,95,4779.622807017544,315.16814159292034
36000,36000,118,5030.738738738739,316.93636363636364
36000,36000,84,4434.771653543307,281.7936507936508
36000,35982,53,4173.9111111111115,265.95522388059703
36000,35914,80,4794.166666666667,300.3613445378151
36000,35854,110,6053.618556701031,371.625
36000,36000,110,5272.633928571428,322.81081081081084
36000,36000,73,4465.922413793103,307.10434782608695
36000,36000,96,4205.2421875,282.61417322834643
36000,35452,60,4161.528455284553,293.1639344262295
36000,36000,71,4227.442748091603,272.9153846153846
36000,36000,87,4743.183333333333,295.6218487394958
36000,35973,71,4494.596774193548,289.1788617886179
36000,35749,108,5019.182608695653,312.5
36000,35777,97,5556.669902912621,345.078431372549
36000,35944,66,3772.406015037594,271.6060606060606
36000,35926,125,5821.806122448979,365.7216494845361
36000,36000,86,4824.471544715447,293.1311475409836
36000,35567,69,4370.730158730159,282.84
36000,36000,94,5862.755102040816,362.8144329896907
36000,35680,54,4157.984732824428,273.9384615384615
36000,35377,69,4139.666666666667,296.1764705882353
36000,35958,35,3552.015625,269.46456692913387
36000,35472,77,4296.080645161291,285.8211382113821
36000,35521,79,4348.252252252252,321.6636363636364
36000,35603,86,5009.254545454545,321.1834862385321
36000,35966,80,4924.525862068966,309.5826086956522
36000,36000,88,5227.125,322.98198198198196
36000,35431,93,4284.076923076923,277.51937984496124
36000,35966,71,3830.0564516129034,290.9105691056911
36000,35969,120,5261.927927927928,326.6454545454545
36000,35736,70,3975.0793650793653,282.968
36000,35660,99,5538.6509433962265,325.43809523809523
36000,36000,61,4463.0,285.9032258064516
36000,35460,100,4922.477477477478,320.75454545454545
36000,36000,107,5355.009345794392,339.02830188679246
36000,35952,85,4806.137931034483,310.5217391304348
36000,35932,56,4077.832,286.9032258064516
36000,36000,102,5097.136363636364,326.25688073394497
36000,35904,105,4678.148760330579,296.0083333333333
36000,35434,101,5255.089285714285,316.3243243243243
36000,35970,87,5128.910714285715,319.3783783783784
36000,35696,96,5338.710280373832,332.10377358490564
36000,36000,97,5395.851851851852,329.57943925233644
36000,35366,94,4945.688073394495,328.2962962962963
36000,35800,59,4128.540983606557,292.9504132231405
36000,36000,100,4438.617391304348,314.2631578947368
36000,35958,108,5439.87962962963,329.5981308411215
36000,35612,87,4894.779816513761,323.287037037037
36000,36000,73,4340.455284552845,291.10655737704917
36000,35986,78,4377.727272727273,294.2916666666667
36000,35988,69,5105.7522123893805,313.13392857142856
36000,36000,80,4598.991596638655,304.10169491525426
36000,35778,70,5091.098214285715,322.0810810810811
36000,35878,106,4974.95652173913,314.39473684210526
36000,35808,83,4457.587301587301,276.792
36000,35600,84,4495.104838709677,285.0894308943089
36000,35660,78,5167.287037037037,336.29906542056074
36000,35853,83,4594.262295081967,291.297520661157
36000,35898,71,4577.294117647059,301.8135593220339
36000,34928,77,4142.431192660551,330.49074074074076
36000,35795,94,4986.743362831859,316.9732142857143
36000,35574,75,4426.959349593496,289.38524590163934
36000,36000,89,4977.982758620689,309.97391304347826
36000,35885,100,4923.380530973452,318.55357142857144
36000,36000,109,4985.869565217391,312.64912280701753
36000,35829,100,5486.462264150943,338.96190476190475
36000,34788,105,4638.706896551724,308.02608695652174
36000,35858,91,4506.627118644068,305.1709401709402
36000,36000,87,4854.555555555556,296.9051724137931
36000,35943,65,4154.522727272727,268.62595419847327
36000,36000,91,4861.008403361345,302.271186440678
36000,35431,40,4208.954198473282,271.8615384615385
36000,35916,86,4273.163934426229,293.46280991735534
36000,35926,84,4211.772357723577,294.0409836065574
36000,35971,67,4987.794642857143,319.5945945945946
36000,35352,95,5447.754716981132,335.54285714285714
36000,35848,93,4561.680672268908,303.8728813559322
36000,35921,66,4304.818181818182,296.7083333333333
36000,35700,77,4692.576576576576,320.8818181818182
36000,35441,74,4496.462809917355,290.5416666666667
36000,35856,49,3692.645390070922,252.95714285714286
36000,36000,90,4305.363636363636,273.9770992366412
36000,35942,60,4130.976744186047,278.4765625
36000,35399,52,4100.472,285.5483870967742
36000,35943,84,4312.390625,278.7795275590551
36000,35933,87,4959.5,302.9130434782609
36000,35677,78,4372.895161290323,288.0975609756098
36000,36000,92,4890.636363636364,298.3
36000,36000,90,5242.063063063063,323.6454545454545
36000,35879,113,5747.319587628866,372.7291666666667
36000,35964,86,4981.324324324324,326.41818181818184
36000,35873,103,4881.281818181818,324.51376146788994
36000,35862,97,5279.981308411215,336.0566037735849
36000,36000,76,4699.074380165289,298.31666666666666
36000,35557,112,5040.4495412844035,321.3425925925926
36000,35623,98,5059.2477876106195,320.25
36000,36000,70,4057.8984375,280.2755905511811
36000,35781,66,5071.342592592592,333.1214953271028
36000,35911,94,5004.576576576576,320.72727272727275
36000,35984,46,3819.2985074626868,265.45112781954884
36000,36000,106,4813.938596491228,317.72566371681415
36000,34512,96,4596.577586206897,311.8521739130435
36000,36000,72,5001.036363636364,328.27522935779814
